"bund_nr","lfd_nr","randtyp","randform","anfang_dist","end_dist","knick_dist","anfang_azi","end_azi","knick_azi"
10003,1,4,1,2420,2350,-2,6,35,-2
10005,1,4,1,2122,25,-2,23,100,-2
10009,1,4,1,2316,1950,-2,246,296,-2
10013,1,4,1,2543,2826,-2,341,371,-2
10014,1,3,1,2149,2195,-2,234,187,-2
10022,1,4,2,2486,2870,1889,384,25,17
10024,1,4,1,2451,2319,-2,292,334,-2
10033,1,4,1,2061,2047,-2,269,310,-2
30009,1,4,1,1167,1484,-2,384,97,-2
30016,1,3,1,2424,1359,-2,346,9,-2
30026,1,4,1,1594,1732,-2,243,337,-2
30031,1,4,1,1553,2120,-2,8,308,-2
30040,1,4,1,1636,1457,-2,293,163,-2
30042,1,3,1,2310,2212,-2,35,383,-2
30058,1,1,1,2029,1998,-2,24,67,-2
30059,1,4,1,1129,1112,-2,268,390,-2
30062,1,2,2,3128,1355,2173,304,351,281
30063,1,4,1,1365,1526,-2,180,266,-2
30094,1,4,1,2504,2459,-2,320,357,-2
30112,1,4,1,2097,1946,-2,313,365,-2
30127,1,2,1,1326,1661,-2,105,34,-2
30128,1,4,2,1420,1941,1087,42,314,202
30130,1,4,1,2488,2458,-2,214,253,-2
30148,1,4,1,1982,1914,-2,164,230,-2
30150,1,4,1,2160,2166,-2,385,36,-2
30157,1,4,1,1359,1529,-2,286,363,-2
30159,1,4,1,856,624,-2,157,18,-2
30178,1,4,1,1201,1978,-2,4,79,-2
30188,1,4,1,2227,2880,-2,61,137,-2
30506,1,4,1,1683,2304,-2,296,331,-2
30506,2,4,1,2172,1692,-2,35,93,-2
30509,1,3,1,1600,1147,-2,324,19,-2
30509,2,4,1,2626,2930,-2,163,188,-2
30512,1,4,1,2126,2301,-2,282,336,-2
30515,1,4,1,2440,2131,-2,173,147,-2
30517,1,4,2,2146,3195,1855,382,334,349
30517,2,4,1,2259,2002,-2,198,139,-2
30520,1,4,1,1730,1488,-2,134,84,-2
30522,1,4,1,2415,2367,-2,347,385,-2
30523,1,4,1,1574,1733,-2,274,326,-2
30602,1,4,1,2063,606,-2,181,315,-2
30605,1,4,1,2337,2520,-2,48,24,-2
30619,1,3,1,1260,1357,-2,311,399,-2
30622,1,4,1,1249,1018,-2,303,3,-2
30624,1,4,1,2557,2625,-2,353,15,-2
30625,1,2,2,3103,4249,2350,22,71,70
30633,1,3,2,1138,2124,2111,176,349,263
30638,1,3,1,2163,2274,-2,377,328,-2
30640,1,4,2,2198,2538,3971,376,257,310
30641,1,4,1,1073,315,-2,95,363,-2
30642,1,4,2,3138,452,2577,306,163,261
30648,1,4,1,1667,1230,-2,208,332,-2
30651,1,4,1,1365,1392,-2,175,265,-2
30652,1,4,1,726,903,-2,125,285,-2
40003,1,4,1,2259,2462,-2,96,175,-2
50004,1,2,2,4231,5035,3524,109,153,155
50005,1,3,1,1907,241,-2,262,356,-2
50006,1,1,1,2676,2827,-2,240,293,-2
50007,1,2,1,1822,2199,-2,220,347,-2
50009,1,3,1,1618,1885,-2,33,294,-2
50009,2,2,1,3502,3030,-2,84,136,-2
50010,1,3,2,3090,2306,1481,225,186,213
50013,1,1,1,2684,2469,-2,384,24,-2
50014,1,2,1,2403,2349,-2,266,347,-2
50023,1,2,2,3201,2911,1940,1,300,332
50024,1,3,2,3138,269,643,244,121,138
50025,1,3,1,2549,2525,-2,185,262,-2
50026,1,1,1,2687,2552,-2,175,102,-2
50032,1,3,-9,3092,3294,1207,160,222,202
50033,1,1,1,3007,2681,-2,113,172,-2
50036,1,3,1,4498,3794,-2,28,343,-2
50039,1,1,1,2922,3089,-2,298,355,-2
50039,2,1,1,2362,2088,-2,82,166,-2
50041,1,3,1,2814,2696,-2,350,21,-2
50042,1,2,1,2664,2648,-2,7,128,-2
50042,2,3,2,2007,2981,893,211,329,281
50045,1,3,1,1958,1994,-2,28,307,-2
50047,1,3,1,1828,1302,-2,375,77,-2
50048,1,3,1,1498,1581,-2,94,330,-2
50050,1,3,1,1601,2106,-2,312,0,-2
50052,1,3,2,2075,2095,1284,241,186,188
50053,1,3,1,1608,2136,-2,31,311,-2
50056,1,3,1,1918,2012,-2,52,383,-2
50057,1,1,2,1432,2015,1175,391,308,327
50057,2,1,1,2664,2538,-2,235,149,-2
50058,1,3,1,2352,2277,-2,120,159,-2
50059,1,1,1,2568,2864,-2,232,298,-2
50059,2,3,1,2980,2550,-2,335,10,-2
50060,1,3,1,1800,1889,-2,64,356,-2
50061,1,3,1,2419,1933,-2,393,311,-2
50062,1,3,2,3651,2812,2384,366,35,31
50063,1,3,1,2481,2210,-2,396,290,-2
50063,2,3,1,2412,2497,-2,195,101,-2
50064,1,1,1,2011,1372,-2,92,372,-2
50065,1,3,1,1591,1954,-2,4,292,-2
50068,1,3,2,2122,1828,1523,112,387,78
50069,1,2,1,2699,3007,-2,300,235,-2
50069,2,3,1,3096,2845,-2,71,129,-2
50070,1,3,1,1921,2319,-2,317,182,-2
50072,1,2,1,557,1957,-2,6,302,-2
50073,1,1,2,2950,3085,2167,352,32,398
50075,1,3,2,3050,3370,2366,358,17,12
50075,2,3,1,2725,3070,-2,262,218,-2
50080,1,1,2,3051,2736,2321,328,382,362
50080,2,3,2,2107,1245,271,305,213,275
50083,1,3,1,2608,2269,-2,217,128,-2
50086,1,3,1,2575,2250,-2,320,22,-2
50090,1,3,1,3277,2684,-2,169,100,-2
50092,1,3,1,2035,2123,-2,258,74,-2
50094,1,3,2,2913,2759,4249,175,326,232
50101,1,3,2,2524,2651,0,221,321,0
50102,1,1,2,2744,2149,1697,225,163,211
50102,2,1,1,2643,2857,-2,21,395,-2
50104,1,2,1,2098,2152,-2,2,325,-2
50106,1,1,1,3594,4097,-2,84,27,-2
50107,1,1,1,3169,2945,-2,54,118,-2
50109,1,3,2,2423,1829,833,187,386,245
50110,1,2,1,2031,1534,-2,145,26,-2
50110,2,3,1,2838,2630,-2,320,240,-2
50111,1,2,1,2144,2773,-2,129,30,-2
50112,1,3,2,3425,4411,2881,110,194,171
50114,1,1,1,3083,2250,-2,302,17,-2
50117,1,3,1,2614,4146,-2,394,132,-2
50117,2,2,1,4146,4092,-2,132,183,-2
50121,1,2,1,2111,1856,-2,313,392,-2
50122,1,1,2,1470,2383,1398,325,196,236
50122,2,1,1,1838,1825,-2,115,20,-2
50123,1,2,1,3497,2798,-2,239,154,-2
50124,1,2,1,3295,3523,-2,59,5,-2
50128,1,1,1,3450,3761,-2,368,46,-2
50131,1,3,2,2370,2785,1809,61,144,110
50132,1,3,1,2561,2266,-2,244,316,-2
50133,1,2,1,3109,2471,-2,143,63,-2
50134,1,3,1,3173,2806,-2,158,115,-2
50141,1,2,1,2453,2666,-2,202,282,-2
50142,1,2,2,3051,2906,2224,233,302,301
50142,2,1,1,1913,1820,-2,388,118,-2
50144,1,3,1,2018,1829,-2,48,322,-2
50145,1,3,1,2427,1767,-2,57,376,-2
50145,2,1,1,2986,2403,-2,252,184,-2
60001,1,4,1,969,1448,-2,121,305,-2
60001,2,4,1,1718,1524,-2,277,149,-2
60004,1,3,1,1300,1250,-2,150,200,-2
60008,1,3,1,821,1170,-2,104,340,-2
60017,1,2,1,1725,1770,-2,20,100,-2
60018,1,3,1,2190,2600,-2,396,26,-2
60019,1,4,1,1600,1260,-2,275,325,-2
60019,2,4,1,2600,1950,-2,275,325,-2
60026,1,4,1,1651,1360,-2,264,203,-2
60033,1,4,1,1531,1672,-2,127,211,-2
60033,2,4,1,1170,1038,-2,105,216,-2
60038,1,4,1,1529,1728,-2,300,175,-2
60038,2,4,1,2229,2447,-2,300,175,-2
60039,1,4,1,975,918,-2,311,162,-2
60039,2,3,1,1538,1450,-2,285,185,-2
60044,1,3,1,2052,2337,-2,383,329,-2
60051,1,2,1,2630,2270,-2,320,295,-2
60051,2,4,2,1300,1810,1550,180,80,135
60058,1,3,1,1588,975,-2,12,160,-2
60062,1,4,1,1616,1075,-2,108,252,-2
60063,1,1,1,2438,2654,-2,270,300,-2
60064,1,3,1,1462,681,-2,327,256,-2
60065,1,4,1,1050,1050,-2,0,350,-2
60069,1,4,1,830,1100,-2,200,135,-2
60069,2,4,1,1300,1350,-2,225,300,-2
60071,1,4,1,2541,2629,-2,135,165,-2
60072,1,4,1,1501,1438,-2,22,90,-2
60074,1,3,1,2367,2072,-2,0,235,-2
60074,2,4,2,2875,3000,2717,270,157,185
60076,1,4,2,1311,1780,867,150,355,387
60076,2,4,1,677,1199,-2,397,95,-2
60079,1,4,1,1200,1400,-2,355,100,-2
60089,1,1,2,3000,1907,2368,156,206,150
60089,2,3,1,1990,2383,-2,335,382,-2
60090,1,3,1,2120,1748,-2,102,30,-2
60092,1,4,1,1123,1252,-2,129,12,-2
60092,2,3,1,1619,1450,-2,133,16,-2
60093,1,4,2,3000,1177,1983,318,78,310
60093,2,4,2,3000,1456,2238,326,48,328
60096,1,1,1,1920,2220,-2,258,303,-2
60099,1,3,1,2202,2286,-2,28,81,-2
60100,1,3,2,2600,2506,2620,195,276,224
60101,1,4,1,1430,1513,-2,161,244,-2
60102,1,1,1,2760,3000,-2,399,348,-2
60107,1,2,1,1670,2340,-2,132,195,-2
60112,1,1,1,1900,2150,-2,85,55,-2
60116,1,1,1,2500,2100,-2,360,320,-2
60127,1,3,1,1510,1150,-2,275,148,-2
60130,1,1,1,2400,2500,-2,48,85,-2
60131,1,3,2,1843,1639,1484,39,190,100
60139,1,2,1,2050,1350,-2,335,235,-2
70003,1,4,1,2400,2300,-2,283,350,-2
70005,1,4,1,2800,2800,-2,18,55,-2
70009,1,4,1,2060,1650,-2,70,395,-2
70012,1,3,1,2500,2500,-2,78,340,-2
70015,1,1,1,3000,3200,-2,260,305,-2
70030,1,4,1,1500,1300,-2,375,48,-2
70031,1,4,1,1500,1450,-2,252,400,-2
70033,1,1,1,2760,2930,-2,320,379,-2
70037,1,1,2,2000,2750,2200,120,174,180
70038,1,4,1,2500,2600,-2,10,345,-2
70046,1,2,1,2500,2150,-2,100,175,-2
70048,1,1,2,1780,2180,2240,145,240,214
70052,1,1,1,2220,2210,-2,10,95,-2
70053,1,1,1,2600,2100,-2,123,146,-2
70056,1,4,2,1850,1800,2100,5,265,330
70059,1,4,1,1600,1300,-2,390,110,-2
70060,1,1,1,3250,2860,-2,240,190,-2
70061,1,4,1,2000,1450,-2,305,170,-2
70077,1,2,1,1700,1709,-2,303,377,-2
70083,1,4,1,2700,2700,-2,142,215,-2
70093,1,4,1,2340,2070,-2,210,252,-2
70098,1,1,1,2000,1820,-2,315,395,-2
70100,1,4,1,3000,3000,-2,392,348,-2
70110,1,4,1,2100,2210,-2,50,390,-2
70117,1,4,1,1810,1700,-2,235,100,-2
70124,1,4,2,2000,1720,980,100,150,128
70124,2,1,1,1310,1400,-2,320,35,-2
70129,1,4,1,1990,2250,-2,345,51,-2
70137,1,1,2,2900,2730,1950,377,14,375
70139,1,1,1,2800,2600,-2,210,172,-2
70139,2,1,1,2700,2640,-2,275,315,-2
70140,1,4,1,1960,1900,-2,345,8,-2
70144,1,1,1,1860,1600,-2,234,177,-2
70144,2,1,2,3000,1950,2600,385,20,380
70146,1,4,1,2010,1490,-2,40,380,-2
70146,2,4,2,1800,2260,2300,150,263,238
70147,1,1,2,2700,3400,2600,295,329,330
70153,1,1,2,2370,2640,2240,162,245,220
70157,1,4,1,2700,2300,-2,5,345,-2
70162,1,4,1,2150,2080,-2,390,50,-2
70164,1,2,1,1400,1700,-2,160,245,-2
80054,1,4,1,1950,1750,-2,10,340,-2
80065,1,4,1,2600,2850,-2,355,322,-2
80066,1,4,1,2350,2150,-2,315,353,-2
80076,1,4,1,2000,1850,-2,205,160,-2
80083,1,3,1,2440,2480,-2,315,332,-2
80086,1,4,1,1691,1767,-2,197,154,-2
80088,1,4,1,2200,1900,-2,19,390,-2
80094,1,4,1,1400,1400,-2,350,15,-2
80102,1,4,1,1343,1630,-2,230,160,-2
80103,1,4,1,1898,2062,-2,230,160,-2
80110,1,3,1,1350,2100,-2,316,370,-2
80111,1,4,1,1900,2000,-2,232,280,-2
80115,1,1,1,2300,2100,-2,354,5,-2
80116,1,4,1,1350,1550,-2,15,85,-2
80127,1,4,1,2250,2150,-2,290,245,-2
80146,1,2,2,1900,1690,1150,185,220,194
80159,1,4,1,2000,1800,-2,300,250,-2
80160,1,3,1,1200,1200,-2,340,20,-2
80169,1,3,2,1450,1400,1800,65,255,165
80173,1,4,1,900,1200,-2,400,325,-2
80177,1,3,1,1200,1100,-2,323,42,-2
80179,1,4,1,2450,2400,-2,220,193,-2
80182,1,2,1,2050,2100,-2,372,330,-2
80184,1,1,1,2300,2400,-2,280,340,-2
80184,2,4,1,1200,1250,-2,135,75,-2
80193,1,4,1,2340,2180,-2,10,382,-2
80198,1,3,1,1300,1700,-2,160,230,-2
80211,1,4,1,1150,550,-2,320,400,-2
80218,1,4,2,2100,2350,1800,210,305,260
80219,1,4,2,1569,1286,1780,157,32,83
80224,1,1,1,2000,1850,-2,215,170,-2
80246,1,4,1,1650,1450,-2,25,85,-2
80249,1,4,1,1600,1300,-2,200,120,-2
80254,1,4,1,2170,1860,-2,103,58,-2
80254,2,1,1,1960,1760,-2,318,290,-2
80255,1,4,1,1850,2000,-2,37,100,-2
80265,1,4,1,1500,1050,-2,20,90,-2
80267,1,3,1,1200,1200,-2,106,205,-2
80272,1,4,1,1100,950,-2,270,330,-2
80273,1,4,1,1500,1600,-2,320,270,-2
80276,1,4,1,1400,1100,-2,150,186,-2
80278,1,4,1,1200,600,-2,100,200,-2
80279,1,1,1,1450,1200,-2,330,400,-2
80282,1,4,1,2100,2150,-2,140,200,-2
80283,1,4,1,1760,1600,-2,250,305,-2
80293,1,3,1,910,900,-2,210,330,-2
80297,1,4,1,1700,1740,-2,245,290,-2
80307,1,4,1,1510,1650,-2,223,170,-2
80001,1,4,1,2560,2706,-2,155,123,-2
80003,1,3,1,1064,845,-2,392,126,-2
80003,2,4,2,2368,2456,2280,186,128,156
80004,1,2,1,1654,1591,-2,324,1,-2
80014,1,2,1,1977,2121,-2,241,218,-2
80016,1,3,2,1289,1625,1640,15,211,287
80016,2,3,2,1625,1973,1131,211,94,92
80024,1,2,2,1754,2146,1382,390,79,20
80025,1,2,1,2132,2034,-2,274,311,-2
80026,1,3,1,1830,2000,-2,63,90,-2
80026,2,1,2,2812,2715,2401,196,216,197
80029,1,2,2,916,2854,2198,269,376,366
80032,1,2,1,1819,1775,-2,108,147,-2
80041,1,2,1,1360,1610,-2,183,211,-2
80049,1,3,1,1022,1194,-2,20,356,-2
80050,1,2,2,1653,1965,1535,286,194,211
80058,1,3,2,1146,1132,1763,270,320,264
80058,2,2,1,2065,1711,-2,75,120,-2
80061,1,2,1,2020,1909,-2,244,295,-2
80063,1,2,1,1373,1400,-2,293,263,-2
80079,1,3,2,987,1830,573,257,390,50
80091,1,2,1,1755,1827,-2,35,75,-2
80112,1,2,1,2871,2946,-2,367,382,-2
80114,1,3,1,1217,1416,-2,266,302,-2
80117,1,3,1,750,1305,-2,365,299,-2
80119,1,2,1,2411,2075,-2,65,97,-2
80120,1,1,1,2365,1975,-2,3,34,-2
80122,1,3,1,1438,965,-2,162,221,-2
80128,1,3,2,1592,1777,1095,330,395,379
80129,1,3,2,2001,1604,1911,364,319,340
80130,1,2,2,2715,2455,2280,338,391,362
80137,1,2,1,1858,2619,-2,63,180,-2
80141,1,3,1,839,1132,-2,17,339,-2
80149,1,3,1,804,1772,-2,78,245,-2
80150,1,1,1,2325,2483,-2,38,70,-2
80154,1,2,1,1906,2181,-2,258,299,-2
80157,1,3,1,1219,1234,-2,28,8,-2
80163,1,2,2,867,1712,1432,169,48,85
80164,1,3,1,1535,2036,-2,386,326,-2
80164,2,2,1,2641,2627,-2,310,243,-2
80204,1,2,2,2600,2581,2434,256,182,223
80208,1,3,2,2313,2628,2143,201,171,185
80214,1,1,1,2459,2039,-2,386,31,-2
80221,1,2,1,2548,2505,-2,398,382,-2
80227,1,3,1,2116,2402,-2,190,214,-2
80227,2,2,1,2730,2803,-2,297,318,-2
80228,1,3,2,657,1000,452,165,366,305
80228,2,1,1,1819,1989,-2,365,273,-2
80231,1,2,1,1752,1779,-2,353,380,-2
80233,1,4,1,1050,450,-2,400,100,-2
80234,1,3,2,852,1200,178,180,325,1200
80236,1,3,2,687,1717,533,21,279,392
80238,1,2,1,1648,2546,-2,368,44,-2
80238,2,1,1,2142,2065,-2,85,116,-2
80260,1,2,1,2171,1980,-2,31,48,-2
80261,1,2,2,1493,1807,1620,294,353,345
80263,1,3,1,735,737,-2,8,342,-2
80264,1,3,1,1622,1198,-2,248,202,-2
80284,1,2,1,2198,2507,-2,391,35,-2
80286,1,2,2,1471,1538,1628,14,342,389
80292,1,3,1,1732,1731,-2,361,393,-2
80292,2,2,2,1692,2129,1458,63,166,141
80303,1,3,1,1384,1405,-2,301,262,-2
80304,1,2,1,1085,1088,-2,281,207,-2
100018,1,2,1,2401,2678,-2,26,138,-2
100021,1,2,1,2717,2659,-2,30,315,-2
100022,1,2,1,2905,2809,-2,32,117,-2
100029,1,2,1,2211,2875,-2,220,337,-2
100039,1,3,1,1720,2358,-2,64,136,-2
100040,1,2,2,2027,2197,988,33,153,94
100045,1,3,1,3094,2474,-2,208,56,-2
100050,1,1,1,3145,2785,-2,397,314,-2
100064,1,1,2,2242,2310,1225,375,237,305
100066,1,1,2,3233,3185,2106,60,166,48
100068,1,2,1,2335,2767,-2,294,165,-2
100071,1,2,1,1699,2124,-2,207,383,-2
100071,2,2,1,2415,1975,-2,397,191,-2
100072,1,2,1,3644,3425,-2,73,155,-2
100082,1,1,1,2082,2244,-2,11,50,-2
100082,2,2,1,2029,1910,-2,136,246,-2
120008,1,-9,1,1811,1550,-2,336,217,-2
120015,1,2,1,1488,2004,-2,245,102,-2
120020,1,3,1,1811,1750,-2,80,178,-2
120039,1,3,1,1440,1422,-2,272,214,-2
120040,1,2,1,1261,1252,-2,234,334,-2
120047,1,2,1,2019,1943,-2,133,223,-2
120058,1,1,1,2099,1686,-2,132,47,-2
120073,1,3,1,1943,2003,-2,229,157,-2
120074,1,1,1,1739,1822,-2,268,321,-2
120075,1,3,1,1931,1907,-2,35,106,-2
120081,1,2,1,1699,1844,-2,31,140,-2
120093,1,3,1,2281,2253,-2,391,81,-2
120100,1,3,1,1715,1912,-2,100,34,-2
120103,1,2,1,2219,2143,-2,98,167,-2
120108,1,2,1,1719,1668,-2,221,111,-2
120108,2,1,2,1668,1853,1997,111,335,3
120117,1,3,1,1969,2025,-2,137,196,-2
120118,1,3,1,1543,1605,-2,141,73,-2
120119,1,1,1,1823,1678,-2,195,121,-2
120153,1,2,1,1961,1323,-2,50,313,-2
120163,1,3,2,1918,1722,809,290,1,240
120164,1,2,1,1310,1317,-2,384,255,-2
130013,1,3,1,2176,1691,-2,308,380,-2
130017,1,2,1,2165,1982,-2,194,67,-2
130043,1,3,1,1000,1039,-2,27,173,-2
130059,1,3,1,1589,1959,-2,314,181,-2
130064,1,3,1,1973,1671,-2,225,321,-2
140014,1,3,1,1982,1788,-2,129,67,-2
140022,1,1,1,2715,2718,-2,290,340,-2
140023,1,2,1,2795,2982,-2,7,39,-2
140024,1,1,1,1751,1290,-2,343,291,-2
140026,1,1,1,2022,2250,-2,313,387,-2
140027,1,3,1,2622,2466,-2,297,336,-2
140027,2,3,1,1848,2340,-2,376,52,-2
140029,1,3,1,2303,1944,-2,299,363,-2
140033,1,3,1,2276,2302,-2,221,160,-2
140037,1,1,1,2910,2970,-2,48,17,-2
140039,1,2,1,2290,2347,-2,123,82,-2
140042,1,3,1,2720,2980,-2,245,299,-2
140043,1,3,1,2537,1881,-2,146,194,-2
140046,1,3,1,2723,2980,-2,120,146,-2
140048,1,3,2,1555,2136,1123,6,240,143
140053,1,1,1,2998,2631,-2,22,381,-2
140054,1,3,1,2800,2806,-2,106,150,-2
140056,1,1,2,747,2141,1323,324,208,256
140067,1,1,1,1942,2581,-2,396,40,-2
140068,1,1,1,2355,2679,-2,30,383,-2
140187,1,1,2,2430,2730,2980,171,80,121
140234,1,2,1,2285,2128,-2,155,190,-2
140254,1,1,2,970,2522,2478,186,313,274
140316,1,1,1,2680,2503,-2,175,134,-2
150003,1,3,2,2650,3000,2230,305,43,253
150011,1,4,1,1720,1350,-2,240,160,-2
150011,2,4,1,2550,2100,-2,240,160,-2
150016,1,2,1,2153,2196,-2,231,265,-2
150017,1,4,1,1355,1185,-2,256,317,-2
150022,1,1,1,2300,2450,-2,315,370,-2
150032,1,1,1,2000,2050,-2,160,107,-2
150050,1,1,1,2250,2700,-2,395,40,-2
150501,1,4,1,1954,1339,-2,316,396,-2
150502,1,2,1,950,929,-2,157,28,-2
150505,1,3,1,1685,1234,-2,237,307,-2
150507,1,2,2,2520,2820,2230,247,273,273
150507,2,4,1,1300,1430,-2,251,319,-2
150508,1,4,1,1272,1653,-2,262,302,-2
160003,1,1,1,1745,1445,-2,182,253,-2
160008,1,3,2,1531,2408,1544,341,84,61
160017,1,1,1,1919,1877,-2,162,212,-2
160027,1,2,1,2301,2489,-2,75,114,-2
160030,1,3,2,1728,1788,678,287,385,386
160032,1,1,1,2097,2196,-2,291,216,-2
160036,1,1,1,1803,1411,-2,179,223,-2
160036,2,1,1,2496,2249,-2,82,35,-2
160037,1,1,1,2902,2603,-2,149,186,-2
160041,1,3,1,1654,1253,-2,34,367,-2
160042,1,2,1,1695,2073,-2,238,293,-2
160043,1,2,1,1669,1748,-2,233,278,-2
160044,1,1,1,2830,3320,-2,150,124,-2
160045,1,1,1,2835,2768,-2,351,387,-2
160046,1,3,1,1507,1034,-2,235,314,-2
160048,1,1,2,2692,2151,2632,249,359,284
160049,1,1,2,2184,2110,2655,211,338,264
160056,1,1,2,1957,1340,2011,357,17,395
160065,1,2,1,2547,2238,-2,397,47,-2
160068,1,1,2,1520,2149,1473,13,282,340
160068,2,1,1,2248,2517,-2,253,223,-2
160070,1,3,1,1652,1642,-2,229,319,-2
160073,1,2,1,2279,2034,-2,65,93,-2
160077,1,1,1,1857,2238,-2,222,269,-2
160081,1,3,1,2891,2474,-2,318,383,-2
160086,1,3,1,2480,2510,-2,11,64,-2
160086,2,3,1,1723,882,-2,177,242,-2
160087,1,3,1,1736,1841,-2,56,16,-2
160087,2,3,1,1178,1469,-2,205,274,-2
160090,1,1,1,2922,3120,-2,280,240,-2
160091,1,3,1,1831,1465,-2,26,79,-2
160093,1,3,1,2335,2704,-2,31,73,-2
160097,1,1,1,2697,2691,-2,391,21,-2
