"plot_ID","CCS_DW_inv_status","dist_cm","azi","inv_year","inv","rem_reason"
130085,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130034,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100051,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130035,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100108,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100123,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130003,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130086,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
80109,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130002,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130005,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120023,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100038,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100102,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100041,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100121,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120121,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130066,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100001,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100117,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100100,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100012,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100110,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100067,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130040,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130016,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100124,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130019,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130063,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130021,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100077,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100125,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130062,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120166,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120152,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100101,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130054,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100061,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100063,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130055,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130015,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100035,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120162,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130041,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100076,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
80187,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100030,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100115,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100059,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100024,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130011,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100019,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100031,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100049,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100113,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100043,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100033,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100060,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100036,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130024,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100119,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100069,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130001,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130007,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130004,2,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
80181,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130006,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100026,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130020,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100042,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100005,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100032,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100027,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100008,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
10009,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100007,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100046,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120126,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100103,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120082,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100112,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100048,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100053,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130018,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100118,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100023,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
80888,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100075,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130012,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
80190,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130065,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100106,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130030,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130009,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130045,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120064,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130053,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130008,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
80197,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
20003,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100114,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130043,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
130038,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100074,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
120158,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130031,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100104,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100105,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130087,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100034,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100054,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130049,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100122,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100079,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100017,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100006,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
140317,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
20004,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130025,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
10041,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
100107,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100111,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100109,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100120,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
100116,-1,-9,-9,1970,"warning","whole plot excluded during inventory status sorting"
130058,1,-9,-9,2012,"HBI","whole plot excluded during inventory status sorting"
120138,-1,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
120031,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120127,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120060,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120001,-1,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
120021,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120048,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120087,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120006,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
80277,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
80300,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
20002,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120160,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
160080,3,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120164,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
130046,-1,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
120050,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120147,-1,-9,-9,2012,"HBI","DW circle excluded during inventory status sorting"
100078,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120005,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120080,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
20001,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120051,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120078,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120075,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120090,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120072,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
120018,-1,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
120117,-1,-9,-9,2011,"HBI","DW circle excluded during inventory status sorting"
140011,-2,-9,-9,1970,"warning","DW circle excluded during inventory status sorting"
